Project Name,Key Tech,Description	,Link
AlphaSanta,Agentic Infrastructure,AlphaSanta is a truth accelerator that aligns AI and human intelligence to turn insight into verifiable signal.,https://docs.google.com/presentation/d/1qE7auc7W14eDFMrfeklzdmCJ5jUQhuZwUmdDSetwqnI/edit?usp=sharing
StreamSentry,Agentic Infrastructure,"StreamSentry transforms passive security cameras into active guardians using AI to actively monitor and detect dangerous events in real time and instantly alert security with video evidence. It's the first surveillance system with a blockchain-backed immutable audit trail, ensuring every incident is permanently logged and tamper-proof for legal compliance.",https://docs.google.com/presentation/d/1k3hsIPVcK5lYl7n6c64xRI_-iU3AhPDd1EHH2OqetH4/edit?usp=sharing
SeizureSense,AI for Science,"SeizureSense is a real-time seizure detection system that analyzes EEG brain wave data using an AI model (98% accuracy) to predict seizures up to 2 minutes in advance. The system provides instant alerts via WhatsApp and a live dashboard, giving patients and caregivers time to take action. It also generates clinical reports to help healthcare providers optimize treatment and improve patient outcomes.",https://www.canva.com/design/DAG4Iq4sZ34/qFhX4_OH-8hu_SEjqYZcEA/edit?utm_content=DAG4Iq4sZ34&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
BigGame,Autonomous Finance & Quant AI,"BabyBTC Quant Lab is a GAME! It takes players back to the early Bitcoin era around 2010, but this time you’re equipped with AI. Players can mine blocks, send tokens, and trigger toy “attacks,”. while a SpoonOS-powered AI coach watches the live chain events, narrates what’s happening in plain language. The game doubles as a sandbox for building and testing agentic workflows over streaming on-chain data, showing how AI agents can monitor systems, detect anomalies, and explain complex behavior in a rigorous way.",https://github.com/CNDY1390/BabyBTC-Quant-Lab/blob/main/slides/slides.pdf
Charles Zuo,Open Innovation,GEO Discoverer is the first diagnostic engine that reverse-engineers your brand's visibility on LLMs.,https://drive.google.com/file/d/1xV6h_6WVQJCOcFF18pXGDMOQB683rncY/view?usp=sharing
TradingAgentBuilder,Autonomous Finance & Quant AI,"- JustBuyIt is an AI-driven portfolio builder that scouts, evaluates, and ranks equities to construct a diversified, data-backed portfolio in minutes.",https://docs.google.com/presentation/d/1igLboZoq08EN8JDG3ag9vgaA2WIgpT2yMA4bej6tN_Q/edit?usp=sharing
Parallel Park,Agentic Infrastructure,ConsensusGPT: Stop getting validation. Start getting challenged. AI agents that actually fight with you—not for you.,https://www.notion.so/ConsensusGPT-Project-Overview-1e537e295bb44317b316e864afed582f?source=copy_link
SmartSign,Open Innovation,"Imagine turning everyday business conversations into legally binding contracts—instantly and effortlessly. Our agent listens to discussions between parties, extracts all key details, and uses advanced language models to generate complete written contracts on the spot. Once both parties agree, the contract is encrypted, password-protected exclusively for them, and securely stored on the network. A smart contract referencing the encrypted document is then created and recorded on the NEO blockchain, ensuring security, transparency, and immutability.",https://docs.google.com/presentation/d/1wvWk6CauwbVPG0TKgTVVsHG9Yc0ZLf1L8wBcNf_GZQg/
Research Bro,AI for Science,"We built an AI Research Workbench that turns a fuzzy research question into a fully structured experimental plan using a coordinated multi-agent pipeline. By combining literature extraction, hypothesis structuring, experimental design, stimulus generation, and synthetic participant simulation, the system accelerates scientific reasoning while keeping researchers in control. The result is faster, clearer, and more reproducible cognitive science.",https://www.figma.com/deck/3bDs3ggdtFMzdo3qxMTAqJ/Research-Bro-Deck?node-id=1-527&viewport=-40%2C-53%2C0.57&t=QVLZ1HuqTBtEQWLk-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1
Deepmind Ace,AI for Science,"OpenMedicine is an AI-powered virtual care platform that turns “something’s wrong” moments into fast, evidence-based treatment across general medicine. Patients connect by text chat, video, or voice; our AI handles intake and generates a structured, clinician-ready note with guideline-linked suggestions so licensed clinicians can quickly finalize care and follow up asynchronously. Each visit becomes structured longitudinal data that personalizes future care and powers SDKs/APIs for health systems, employers, and researchers.",https://drive.google.com/file/d/11N9oPP88AMwxTnIRwFAEmP96kZyJVSSS/view?usp=sharing
EscrowBros,Agentic Infrastructure,"GigSmartPay eliminates administrative delays and ensures immediate, frictionless payments upon job completion by using AI agents for visual work verification, which replaces costly human intermediaries. This innovative approach slashes platform commissions from the typical 20% to just 5%, returning thousands of dollars to workers.",https://docs.google.com/presentation/d/1cpbiGI5YtjvfQ9AUMERA94h_2VkrZW1U-s77NV8E2tA/edit?usp=sharing
Parallel,Agentic Infrastructure,"Parallel is an agentic AI project managing network meant to streamline the development and management process for large teams. It utilizes SpoonOS to network many different nodes, each representing one person.",https://docs.google.com/presentation/d/1ub7xxDv8x8URUUoPT1QqtX2WleRmHvZS/edit?usp=sharing&ouid=114152842688843405772&rtpof=true&sd=true
Suits AI,Agentic Infrastructure,"This project implements a multi-agent AI system designed to automate and accelerate complex legal workflows. By orchestrating specialized agents—each dedicated to tasks like case research, drafting, and citation verification—it acts as a digital legal team that delivers high-quality, hallucination-resistant results significantly faster than traditional methods.",https://docs.google.com/presentation/d/1qAi860ROwY6q1zn7vTSIL2FZO29gjUoP6yP1DSPygQI/edit?usp=sharing
AgentGig,Agentic Infrastructure,"We're building the economic operating system for autonomous AI—a marketplace where agents monetize capabilities and other agents purchase them through standardized MCP protocol. Our intelligent broker layer negotiates pricing across providers in real-time, delivering 40-60% savings with execution guarantees. As AI-to-AI commerce grows, we become the indispensable infrastructure with compounding network effects.",https://gamma.app/docs/AgentGig-ig3m910tnz9hdgc
Jericho,AI for Science,"We’re building the first universal taste-embedding model—a missing sensory component of world models—to let machines understand flavor the way they understand vision or text. This unlocks breakthroughs in food science, personalized nutrition, quality control, and even better-tasting pharmaceuticals.",https://docs.google.com/presentation/d/1tHe-dW2x8eZuOEOaMqurIUCrIqkGREXE7PuGgNdPtRY/edit?usp=sharing
Whaisper,Open Innovation,"Whaisper is an AI ring, serving as a small wearable personal assistant. Whaisper is powered by AI agents to act and respond to user's request, such as calendar management, short notes taking.",https://ujpij57ap5z1.jp.larksuite.com/wiki/MI3wwGvKMibzuUkVNhmjANJppUd?from=from_copylink
Genius Loci,Open Innovation,"Genius Loci turns physical locations into autonomous agent swarms that pay humans to keep them alive. Instead of passive locations on maps, we transform them into agents with GPT 5.1 “eyes” and crypto wallets, allowing them to post bounties for visual data—like verifying a closed sign or checking for long lines—and instantly pay users who provide it. Welcome to the inverted economy where locations pay you.",https://gamma.app/docs/GENIUS-LOCI-uxj57bmr92qkoed
Slack-A-Vibe,Agentic Infrastructure,"Slack-a-vibe is a coding agent that lives inside Slack, right where all your stakeholders already are. It integrates with GitHub, SpoonOS, Jira, and supports concurrent runs.",https://docs.google.com/presentation/d/1mbm5cT5z9trGR7Z3fvS06izJtCQ3W26nZVeywtOIbBs/edit?slide=id.p1#slide=id.p1
